SDSS_ID,Cluster
spec-2148-54526-0618.fits,2
spec-5477-56030-0306.fits,2
spec-2148-54526-0374.fits,0
spec-5123-55841-0560.fits,0
spec-2589-54174-0629.fits,0
spec-0655-52162-0397.fits,0
spec-2529-54585-0603.fits,1
spec-4494-55569-0432.fits,2
spec-1695-53473-0566.fits,1
spec-2617-54502-0310.fits,0
spec-0702-52178-0554.fits,1
spec-0584-52049-0117.fits,1
spec-0514-51994-0499.fits,2
spec-2617-54502-0190.fits,0
spec-1803-54152-0504.fits,1
spec-2484-54144-0211.fits,1
spec-1105-52937-0634.fits,0
spec-0963-52643-0531.fits,0
spec-1451-53117-0021.fits,2
spec-4984-55827-0162.fits,2
spec-1626-53472-0570.fits,2
spec-2027-53433-0085.fits,2
spec-2886-54498-0465.fits,2
spec-1391-52817-0132.fits,2
spec-1869-53327-0417.fits,2
spec-1621-53383-0491.fits,0
spec-4501-55590-0726.fits,1
spec-2143-54184-0527.fits,0
spec-4093-55475-0810.fits,0
spec-0993-52710-0495.fits,2
spec-0725-52258-0057.fits,1
spec-2953-54560-0125.fits,0
spec-1437-53046-0336.fits,1
spec-1035-52816-0156.fits,1
spec-0415-51810-0186.fits,1
spec-1944-53385-0374.fits,0
spec-0617-52072-0596.fits,2
spec-1392-52822-0191.fits,0
spec-1588-52965-0010.fits,1
spec-2617-54502-0372.fits,2
spec-1930-53347-0179.fits,2
spec-4807-55687-0412.fits,0
spec-1050-52721-0193.fits,0
spec-0277-51908-0263.fits,0
spec-1316-52790-0075.fits,2
spec-2760-54506-0191.fits,2
spec-0663-52145-0532.fits,2
spec-1193-52652-0394.fits,0
spec-2752-54533-0070.fits,2
spec-2099-53469-0401.fits,1
spec-2342-53742-0476.fits,2
spec-1756-53080-0406.fits,2
spec-1677-53148-0491.fits,0
spec-2498-54169-0336.fits,2
spec-0745-52258-0016.fits,0
spec-2533-54585-0290.fits,1
spec-1934-53357-0341.fits,2
spec-0474-52000-0270.fits,2
spec-5118-55830-0818.fits,2
spec-4984-55827-0691.fits,2
spec-0334-51993-0166.fits,1
spec-1844-54138-0110.fits,1
spec-3590-55201-0308.fits,2
spec-1830-54560-0625.fits,2
spec-1938-53379-0028.fits,2
spec-2597-54231-0262.fits,1
spec-4080-55471-0142.fits,2
spec-1619-53084-0161.fits,2
spec-1922-53315-0143.fits,0
spec-0752-52251-0294.fits,0
spec-2434-53826-0248.fits,0
spec-1952-53378-0284.fits,2
spec-0877-52353-0006.fits,2
spec-1051-52468-0154.fits,2
spec-0664-52174-0494.fits,0
spec-4538-55860-0694.fits,2
spec-1973-53432-0474.fits,2
spec-2596-54207-0375.fits,2
spec-0410-51877-0582.fits,0
spec-0751-52251-0325.fits,0
spec-0796-52401-0054.fits,1
spec-0345-51690-0457.fits,0
spec-0611-52055-0107.fits,2
spec-2105-53472-0541.fits,2
spec-1333-52782-0166.fits,0
spec-0303-51615-0478.fits,0
spec-2662-54505-0541.fits,0
spec-0511-52636-0431.fits,1
spec-4045-55622-0262.fits,2
spec-1449-53116-0251.fits,2
spec-1042-52725-0255.fits,2
spec-0756-52577-0419.fits,0
spec-0728-52520-0575.fits,2
spec-0536-52024-0305.fits,2
spec-0379-51789-0401.fits,0
spec-1577-53495-0496.fits,2
spec-2152-53874-0292.fits,0
spec-0386-51788-0252.fits,1
spec-1306-52996-0307.fits,0
spec-0846-52407-0427.fits,1
spec-1394-53108-0216.fits,0
spec-1824-53491-0615.fits,0
spec-0378-52146-0512.fits,2
spec-2600-54243-0409.fits,2
spec-2749-54241-0387.fits,1
spec-2780-54557-0404.fits,2
spec-1713-53827-0542.fits,1
spec-0851-52376-0051.fits,1
spec-2218-53816-0370.fits,0
spec-0596-52370-0369.fits,2
spec-0977-52410-0552.fits,2
spec-2157-54242-0493.fits,0
spec-1269-52937-0384.fits,0
spec-1845-54144-0460.fits,1
spec-1177-52824-0299.fits,0
spec-5037-55823-0920.fits,0
spec-2648-54485-0055.fits,0
spec-0770-52282-0232.fits,1
spec-0717-52468-0123.fits,1
spec-0392-51793-0050.fits,2
spec-4181-55685-0502.fits,2
spec-0647-52553-0175.fits,1
spec-2777-54554-0174.fits,1
spec-2093-53818-0437.fits,0
spec-1741-53052-0395.fits,2
spec-1007-52706-0447.fits,0
spec-1326-52764-0386.fits,2
spec-4082-55367-0636.fits,1
spec-1773-53112-0034.fits,2
spec-2098-53460-0511.fits,1
spec-1293-52765-0212.fits,0
spec-1294-52753-0203.fits,2
spec-2366-53741-0069.fits,0
spec-1291-52738-0481.fits,2
spec-4305-55509-0960.fits,2
spec-2648-54485-0619.fits,2
spec-4181-55685-0844.fits,2
spec-2617-54502-0066.fits,2
spec-2610-54476-0405.fits,0
spec-0586-52023-0472.fits,1
spec-0277-51908-0601.fits,0
spec-0964-52646-0577.fits,0
spec-1627-53473-0367.fits,2
spec-1781-53297-0341.fits,2
spec-1813-53903-0060.fits,2
spec-0630-52050-0084.fits,2
spec-0273-51957-0005.fits,0
spec-1831-54557-0545.fits,2
spec-2002-53471-0194.fits,2
spec-1281-52753-0613.fits,2
spec-0526-52312-0270.fits,2
spec-2288-53699-0515.fits,1
spec-4405-55854-0591.fits,2
spec-1591-52976-0391.fits,0
spec-2116-53854-0544.fits,1
spec-2020-53431-0067.fits,0
spec-0650-52143-0063.fits,2
spec-0994-52725-0485.fits,0
spec-2788-54553-0355.fits,0
spec-0741-52261-0325.fits,0
spec-0378-52146-0282.fits,1
spec-0413-51821-0359.fits,1
spec-0297-51959-0027.fits,2
spec-0285-51930-0169.fits,0
spec-0859-52317-0065.fits,2
spec-0612-52079-0315.fits,2
spec-1921-53317-0545.fits,1
spec-2883-54525-0455.fits,0
spec-1776-53858-0266.fits,0
spec-1330-52822-0120.fits,0
spec-1204-52669-0285.fits,2
spec-4360-55539-0798.fits,2
spec-0571-52286-0588.fits,2
spec-0334-51993-0388.fits,2
spec-0445-51873-0335.fits,0
spec-1729-53858-0421.fits,2
spec-2343-53735-0343.fits,1
spec-0581-52356-0624.fits,1
spec-2749-54241-0467.fits,0
spec-2969-54586-0253.fits,2
spec-4369-55827-0470.fits,0
spec-2513-54141-0390.fits,2
spec-2114-53848-0079.fits,0
spec-1733-53047-0235.fits,2
spec-0542-51993-0038.fits,2
spec-1922-53315-0418.fits,2
spec-1431-52992-0585.fits,2
