ra,dec,deVRad_r,deVRadErr_r,expRad_r,expRadErr_r,z,zErr,velDisp,velDispErr,logM,errlogM,logSFR,errlogSFR,logsSFR,errlogsSFR,petroR50Errkpc_r,petroR50kpc_r,deVRadkpc_r,deVRadErrkpc_r,expRadkpc_r,expRadErrkpc_r,fracDev_r,meanRadkpc_r,plate,mjd,fiberid,velDisp_ppxf,Mgb,Fe_avg,Mgb_corr,Fe_avg_corr,alpha,alpha_flag,sexa_id,objid,logAge_boot,[M/H]_boot,SNR,mass_frac,time_75,time_90,time_100,dor_100,univ_age,mass_frac_reg,time_75_reg,time_90_reg,time_100_reg,dor_100_reg,mass_frac_unr,time_75_unr,time_90_unr,time_100_unr,dor_100_unr,mass_frac_plus,time_75_plus,time_90_plus,time_100_plus,dor_100_plus,mass_frac_min,time_75_min,time_90_min,time_100_min,dor_100_min,dor,velDisp_ppxf_err,velDisp_ppxf_res,velDisp_ppxf_err_res,meanRadErrkpc_r,meanRad_r,meanRadErr_r,logAge_noboot,[M/H]_noboot,logAge_plus,[M/H]_plus,logAge_minus,[M/H]_minus,logAge_err,[M/H]_err,logAge_mean,[M/H]_mean,age_mean,age_err,age_noboot,age_boot,age_plus,age_minus,delta_t_unr,delta_t_reg,delta_t_plus,delta_t_minus,delta_t,delta_t_mean,dor_mean,t_ass_err,dor_99,dor_95,dor_med,meanRad_kids,meanRadkpc_kids
155.546223,38.53042854,0.8551561,0.01555684,0.9272586,0.006478813,0.05629072,1.52e-05,219.8827,6.701266,10.488,0.034,-1.77,0.735,-12.258,0.735785974,0.036186384,1.254472561,0.965958952,0.017572545,1.047403796,0.007318275,0.9913231,0.966637662,1427,52996,591,238.6587716,4.468747281,2.426434862,4.817100373,3.019527557,0.3,0,J1022+3831,1.23766004e+18,10.06146507,0.226774793,32.77500414,0.97799,1.06281,1.84737,8.53319,0.8601928309257042,12.960323177334608,0.97799,0.89127,1.84737,8.53319,0.8601928309257042,0.99913,1.0556,1.45081,2.42492,0.9952303025945072,0.99043,1.06067,1.4872,3.86524,0.9545312541838928,0.99912,1.06281,1.46419,2.42708,0.9941003176030304,0.6146810790799674,11.93293858,235.7382502280476,11.78691251140238,0.0174324081265403,0.8557569570219674,0.015432777895276,10.077682537984415,0.2332382873535258,10.077559212849764,0.1873688505026355,10.077429317293298,0.2216603431739539,0.0069685951606053,0.0177389457805012,10.073534034531871,0.2172605685075288,11.844971893318226,0.1900618526202489,11.958660536120645,11.52033398862796,11.955265157858497,11.951689925682835,0.7453200000000001,0.71288,0.75214,0.74834,0.88442,0.73967,0.7347607030665843,0.193405125079355,0.7500722502200534,0.7798989241419942,0.7595207635493265,0.44529853162937705,0.5029960060735458
147.9393254,6.002014827,0.456404,0.01148775,0.5704005,0.01648271,0.09239482,2.98e-05,212.3334,11.4125,10.492,0.024,-1.942,0.666,-12.434,0.666432292,0.020353821,1.646714129,0.811069224,0.020414721,1.013650825,0.029291196,0.6878603,0.869525959,994,52725,485,225.7096364,3.18675489,2.365346862,3.394305458,2.880479168,0.2,0,J0951+0600,1.23766004e+18,9.99628569,0.085354547,15.3140227,0.83862,2.41502,3.61836,11.33394,0.622768385507558,12.50356090703892,0.95592,2.08797,2.39071,11.33394,0.6629766889576295,0.91315,1.8837,2.88554,10.16398,0.6885660723995892,0.94306,1.52555,2.44781,9.68324,0.7321240212039467,0.83862,2.41502,3.61836,10.97003,0.622768385507558,0.3983948997594779,22.57096364,211.0423490953488,21.10423490953488,0.0169750448348463,0.4892987106310157,0.009552179035246,10.035463350674412,0.1651274466963424,10.044576359323042,0.1545058574490619,10.017407533331436,0.1758650246098243,0.0184733163603944,0.0353748618189272,10.023433233332222,0.1452132189388071,10.554392318067624,0.448945672597366,10.850839774953403,9.91483953877796,11.080933774790209,10.408964642929943,1.1572999999999998,1.7535599999999998,0.92457,1.4796600000000002,2.08061,1.3287725,0.459553585519011,0.0519955846678606,0.4733175563502595,0.5834419182743503,0.4635842193276627,0.25105017973840105,0.4461377958552702
195.8902524,19.30254548,0.7631384,0.01117764,0.7972368,0.007420589,0.06373788,1.92e-05,261.3901,7.754551,10.509,0.025,-1.531,0.908,-12.04,0.908344098,0.00924466,1.082386638,0.9674852,0.014170695,1.010714184,0.009407612,0.9828057,0.968212638,2617,54502,310,284.8686412,3.815006278,2.208758675,4.319280955,2.978310521,0.3,0,J1303+1918,1.23766994e+18,10.06491689,0.169928657,29.04036361,0.98573,1.06936,1.57675,11.12263,0.7709428340780736,12.86421354914739,0.98573,0.60199,1.02674,10.07717,0.9109864964247372,0.99073,1.05975,1.55313,3.80814,0.9555045065364848,0.98865,1.06936,1.57675,3.8163,0.9531864000238292,0.99192,1.02981,1.4945,11.12263,0.7709428340780736,0.5476986509235652,28.486864120000003,280.8291358342505,28.082913583425057,0.0139383727195132,0.7637121928453346,0.0109943875331423,10.075574776764844,0.1939610431660215,10.075112240972182,0.2040172466235885,10.073159212368555,0.185614994344954,0.0042963270738223,0.0124876823172077,10.072190780026396,0.188380485283641,11.80839249353623,0.1168163964367419,11.9007621868213,11.61226371185345,11.888094288649842,11.834753382982845,0.72441,0.40707,0.73079,0.6998799999999998,0.8744400000000001,0.6405375,0.6717649779992537,0.265380390542367,0.7025792162262703,0.7878187837918037,0.6608898437025174,0.4012385142291661,0.5086787983176397
160.1354302,44.94674529,0.4888469,0.01589452,0.51797,0.0134382,0.08838681,2.35e-05,251.5595,10.05847,10.515,0.018,-0.853,0.276,-11.368,0.276586334,0.012617704,1.759024521,0.834920381,0.027146861,0.884660841,0.022951617,0.9998572,0.83492728,1431,52992,585,255.2005831,4.23730826,2.273238336,4.643722336,2.910001356,0.3,0,J1040+4456,1.23766004e+18,10.05172408,0.222260388,23.16042422,0.96556,0.91696,1.45509,7.38919,0.8975004320798998,12.553141656729338,0.96556,0.81225,1.01466,7.38919,0.8975004320798998,1.0,0.68247,1.10109,2.00478,1.0909764962364277,0.99875,0.83424,1.33211,2.54802,1.0317064130998654,0.99873,0.91696,1.45509,2.75287,1.0082375871864702,0.6593234208425581,25.52005831,251.2551323023609,25.12551323023609,0.0271432089027431,0.4888509396258024,0.0158923816926325,10.077998229378869,0.2287604931325522,10.07329884317438,0.2245597763528567,10.070588504204622,0.2159945810219108,0.0099874985211934,0.0046150297612478,10.068402414189467,0.2228938096268299,11.705835430746106,0.2691998607524435,11.96735652199076,11.26481542073222,11.838559007731618,11.764907154904447,0.3595,0.33757,0.4660999999999999,0.52843,0.59399,0.4229,0.7900093431396016,0.172265875184563,0.737809483822538,0.7831622740298249,0.8169058539022171,0.25077449694385434,0.42830738709211824
337.9498761,2.630883627,0.8722843,0.01897898,0.8043682,0.008254183,0.0599384,1.15e-05,231.3389,5.001307,10.544,0.029,-1.411,0.845,-11.955,0.845497487,0.005816852,1.379192918,1.044623815,0.022728707,0.963289352,0.009884984,1.0,1.044623815,4323,55884,684,265.5710229,4.52676206,2.489845977,5.015841579,3.24521302,0.3,0,J2231+0237,1.23767997e+18,10.05592965,0.232823797,40.87941504,0.97119,1.10731,1.32822,3.56437,0.948902591080354,12.913122628555282,0.97119,1.10731,1.32822,3.56437,0.948902591080354,0.99924,0.89423,1.3075,2.34584,1.025572334108272,0.99909,0.89125,1.29583,2.30999,1.0270709332262744,0.9989,0.89726,1.32486,2.37894,1.0239751769987555,0.7336387317267189,13.278551145000002,246.46443897292448,12.323221948646225,0.022728707,0.8722843,0.01897898,10.080110756849049,0.2378651892921374,10.08012424976436,0.2364358829938651,10.079468374535496,0.2373218070010936,0.0103833374583153,0.0019656096000242,10.073908257787226,0.236111669071774,11.855182877905516,0.2834398537874061,12.025710836932628,11.374430200747966,12.026084464563862,12.00793627650838,0.6084099999999999,0.69679,0.60534,0.61388,0.82393,0.631105,0.7896033327024002,0.0409349946032272,0.7410420533515439,0.7845419887395847,0.8094843639420232,0.45295427359566187,0.5424456469883038
229.3162421,27.01513912,0.5849609,0.01365499,0.6786921,0.01234435,0.08489627,2.64e-05,204.0848,10.46512,10.546,0.013,-1.999,0.62,-12.545,0.620136275,0.014156029,1.62176475,0.963533593,0.022492173,1.117925383,0.020333318,0.283534,1.071795289,2157,54242,493,261.6910878,3.556720391,2.618727394,3.92459199,3.390193311,0.1,0,J1517+2700,1.23766994e+18,10.00937562,0.168586218,19.26939002,0.91083,0.99047,1.57661,11.06712,0.8637006628656351,12.59654640893316,0.91083,0.58217,1.57661,11.06712,0.8637006628656351,0.99815,0.84639,1.34422,2.58778,1.027819515231384,0.99761,0.99047,1.54171,3.05389,0.9866607246797529,0.99764,0.74484,1.19189,3.39717,1.0330781736099792,0.5308759874863469,26.16910878,262.81594849393355,26.28159484939336,0.015665230611358,0.650686536732568,0.0095103558233845,10.072498088406252,0.1889177651290284,10.068556137266096,0.2178674633533985,10.07563830962516,0.1297047512306751,0.0273325364851118,0.0320845672222436,10.056517038824378,0.1762690494282755,11.389824670889451,0.7168242087990965,11.8167511126358,10.218228731826065,11.709979567081756,11.902503274493322,0.49356,0.34502,0.59061,0.4268299999999999,0.75332,0.464005,0.7549094532916675,0.277803894227167,0.5892314003751818,0.7334100723995522,0.8085252730502805,0.34332299731293436,0.5655134236905677
190.5547031,3.79341532,0.3661484,0.01409712,0.4840315,0.005690206,0.0771746,2.16e-05,224.8374,9.129378,10.55,0.018,-2.156,0.639,-12.706,0.639253471,0.017351502,1.187231543,0.553228832,0.021299924,0.731343307,0.008597569,0.0,0.731343307,846,52407,46,235.4715408,2.209599274,2.26543924,2.374646816,2.804078457,0.0,-1,J1242+0347,1.23766994e+18,10.03992223,0.196680404,20.96489373,0.99417,0.99527,1.8723,10.71031,0.9640203833891352,12.693316872283749,0.99417,0.48,1.8723,10.71031,0.9640203833891352,0.99949,0.99527,1.50042,2.61086,0.998726157624016,0.99912,0.93888,1.42562,2.59511,1.0090741547591842,,,,,,0.5693059511512979,23.54715408,231.61071081846376,23.161071081846377,0.008597569,0.4840315,0.005690206,10.072951392651934,0.2244924200658506,10.073972899872892,0.2291582365609024,,,0.0158163669844564,0.0143375485626094,10.06228217417494,0.2167770202089177,11.542029345800245,0.420343751729292,11.829091541009996,10.96281865132068,11.85694758092328,,0.62189,0.29661,0.58445,,0.8118799999999999,0.5009833333333333,0.7520356953941235,0.301090337842139,0.7814666779675986,0.794442535131167,0.79370959472823,0.24779924307110857,0.3744101733188792
150.6287083,32.71453766,0.6742507,0.01340374,0.7855473,0.006543613,0.0489515,1.59e-05,251.1081,7.077602,10.55,0.043,-0.84,0.68,-11.39,0.681358202,0.023815569,1.080677008,0.668127566,0.013282015,0.778413438,0.006484188,0.0,0.778413438,1952,53378,284,279.3060835,4.17836247,2.271322312,4.700781506,3.032680143,0.3,0,J1002+3242,1.23766004e+18,10.02598235,0.188561168,31.73869162,0.99554,0.73117,1.17383,12.27828,0.8132684815472931,13.05602684145416,0.99554,0.04584,0.05501,12.15809,4.223940007117195,0.99671,0.71092,1.14915,12.25245,0.8205241201395315,0.9964,0.73117,1.16753,12.27828,0.8132684815472931,0.99663,0.71921,1.17383,12.2596,0.8176126487500067,0.5975201768315336,13.965304175,264.98664522904807,13.249332261452404,0.006484188,0.7855473,0.006543613,10.090865901845852,0.2340497948451089,10.090062951898236,0.2339209316437946,10.090494247181764,0.2312170757582504,0.0279273080841062,0.0193028520181512,10.074351362731464,0.2219372425617885,11.867284737606854,0.763125783999229,12.327241432531649,10.616524101024796,12.304471137825772,12.316696704964311,0.38684,-0.09053,0.3990599999999999,0.39394,0.5948,0.2723275,0.6729362634093868,0.0035680009326843,0.8604406432453677,0.8739802395927084,0.6035472476718458,0.4119207058419575,0.40817989304223623
244.1282496,28.15281021,0.6223004,0.006744144,0.8974153,0.008064675,0.05007894,1.24e-05,220.9603,5.587851,10.56,0.031,-1.24,0.642,-11.8,0.642748007,0.011261384,1.215390655,0.630003491,0.006827626,0.908523876,0.008164503,0.0,0.908523876,1577,53495,622,223.0295466,4.751536538,3.017679667,5.0490362,3.658678547,0.1,0,J1616+2809,1.23766004e+18,10.08618636,0.221968906,39.09552438,0.99585,0.80338,1.23324,11.27541,0.8331275174701406,13.041260786153243,0.99651,0.80338,1.09896,7.13759,0.9238574018204458,0.99939,0.72634,1.1857,2.38519,1.06829239696931,1.0,0.53613,0.96275,1.95701,1.1608488944227269,0.99585,0.74836,1.23324,11.27541,0.8331275174701406,0.6024337299676407,11.15147733,213.33363084428208,10.666681542214103,0.008164503,0.8974153,0.008064675,10.093748271559813,0.2339589375915575,10.09839637408838,0.2361454519488748,10.09077756138038,0.2023518639175702,0.0044428479306485,0.0134055916411027,10.092277141757144,0.2236062898645006,12.367363957115591,0.1265185712782976,12.409328219774157,12.195127915020706,12.542854202672038,12.324734185624118,0.3957799999999999,0.57855,0.24969,0.40805,0.57855,0.4080175,0.7753589391352936,0.292363173946276,0.8353127986763415,0.8525401718843989,0.7882092811272484,0.46445770155918176,0.47020695023288533
187.1930509,51.27119288,0.5834267,0.01064367,0.7234821,0.01333506,0.08593325,2.21e-05,218.7185,9.27852,10.561,0.043,-1.594,0.722,-12.155,0.723279337,0.013959139,1.625334601,0.971569117,0.017724696,1.204800646,0.022206616,0.4345185,1.097269065,971,52644,524,215.5861543,4.872929087,2.610225337,5.145153191,3.126463562,0.4,0,J1228+5116,1.23766004e+18,10.01709672,0.235799968,21.05876753,0.95199,1.08192,2.07469,10.03158,0.772312830970821,12.583629613357118,0.95199,1.08192,2.07469,10.03158,0.772312830970821,0.99881,0.89249,1.39918,2.54675,1.0188848011716611,,,,,,0.99855,0.9203,1.4392,2.77774,1.007036248424488,0.5575221074013398,21.558615430000003,217.2554993894474,21.72554993894474,0.0143685273552391,0.6589094472261069,0.0086282924302475,10.071933314233796,0.2287633144831757,,,10.07106498586641,0.2288020185471343,0.025648001399163,0.0033080253805499,10.053365006700067,0.2311217670101033,11.307458609416246,0.6677812551620046,11.80139411743639,10.401517881117917,,11.777821983488614,0.51735,0.57626,,0.5373,0.70678,0.5436366666666667,0.7167191285161412,0.2761697241594,0.6007221498403118,0.7447081636008749,0.7922455248550068,0.3476983732204987,0.579015327027041
357.70492,6.15819457,0.9601405,0.01763593,0.9244786,0.008167007,0.05517982,1.38e-05,239.7347,6.612304,10.564,0.028,-1.549,0.783,-12.113,0.783500479,11.59376078,6.439735069,1.064547125,0.019553678,1.025007315,0.009055095,0.9959431,1.064383674,4405,55854,591,272.5609683,4.403193516,2.192902552,4.916440792,2.893391719,0.4,1,J2350+0609,1.23767997e+18,10.04096215,0.234153993,34.77204544,0.97117,0.99123,1.41404,10.84242,0.7832476833291548,12.974746106681854,0.97117,0.97233,1.39994,10.84242,0.7832476833291548,0.99889,0.94623,1.35128,2.3842,1.0145152620552969,,,,,,0.99837,0.99123,1.41404,2.45802,1.0044491050211477,0.5646296992304216,13.628048415000002,255.44306451865484,12.772153225932742,0.0194713979443019,0.9599930792971596,0.0175617196492463,10.080055899780676,0.2357433730413355,,,10.078145497772775,0.2327840919662402,0.0179955928534897,0.0012092285070108,10.066387849184483,0.2342271526691919,11.651661232171383,0.4828027072369211,12.024191928434403,10.98910062119791,,11.97141531687985,0.6636200000000001,0.72417,,0.70028,0.7430700000000001,0.6960233333333334,0.7186585696003093,0.305975774948437,0.6124233126777514,0.7984924642549612,0.7923677286979459,0.4924207444016011,0.5459670618379314
251.9555515,29.94959628,0.4098055,0.01689052,0.5481073,0.01545708,0.1043092,2.72e-05,236.409,10.64699,10.572,0.023,-1.089,0.61,-11.661,0.610433453,0.02599666,1.800497289,0.810913156,0.03342255,1.084581394,0.030586094,0.0,1.084581394,1342,52793,503,263.3656398,4.321233755,1.963948126,4.776734196,2.549941404,0.4,1,J1647+2956,1.23766004e+18,10.04018205,0.155149233,19.2359607,0.97278,1.17175,1.74192,10.73174,0.7518716245072415,12.357790443005618,0.97278,0.42634,0.78766,7.34051,1.083851440746171,0.98917,1.17175,1.74192,4.52743,0.9165065878828544,,,,,,0.99004,1.15209,1.68151,10.73174,0.7518716245072415,0.5292392048318958,26.33656398,247.8065588292847,24.78065588292847,0.030586094,0.5481073,0.01545708,10.052883878550752,0.1786745385215231,,,10.047250167972976,0.1672966091504463,0.0051965098873805,0.0096058779689813,10.046772032174577,0.1670401268906564,11.137097768112753,0.1332598987099584,11.294938707676526,10.969379203796253,,11.14936588970101,0.8101100000000001,0.2531,,0.7916700000000001,0.99851,0.6182933333333335,0.6588222030548329,0.205260159232806,0.60213708012938,0.7512578587857571,0.628603240112632,0.28622220536082543,0.566369538419943
