GALAXY ID,ra,dec,plate,mjd,fiberid,objid,deVRad_r,deVRadErr_r,expRad_r,expRadErr_r,z,zErr,SNR,velDisp_SDSS,velDispErr_SDSS,velDisp_ppxf_full,velDisp_ppxf_err_full,velDisp_ppxf_res,velDisp_ppxf_err_res,logM*,errlogM*,logSFR,errlogSFR,logsSFR,errlogsSFR,petroR50Errkpc_r,petroR50kpc_r,deVRadkpc_r,deVRadErrkpc_r,expRadkpc_r,expRadErrkpc_r,fracDev_r,meanRad_r,meanRadErr_r,meanRadkpc_r,meanRadErrkpc_r,meanRad_kids,meanRadkpc_kids,Mgb_ssp,Fe_avg_ssp,Mgb_sigmacorr,Fe_avg_sigmacorr,MgFe,alphaFe_flag,univ_age,age_mean_mass,age_err_mass,age_mean_light,age_err_light,[M/H]_mean_mass,[M/H]_err_mass,[M/H]_mean_light,[M/H]_err_light,Mtbb3,Mtbb3_unr,Mtbb3_reg,Mtbb3_alphaplus,Mtbb3_alphamin,t_75,t_75_unr,t_75_reg,t_75_alphaplus,t_75_alphamin,t_90,t_90_unr,t_90_reg,t_90_alphaplus,t_90_alphamin,t_100,t_100_unr,t_100_reg,t_100_alphaplus,t_100_alphamin,DoR
J0930+1512,142.5564839,15.20291045,2579,54068,465,1.24E+18,0.796703,0.02390387,0.7989876,0.01132349,0.137978,2.77E-05,21.93370157,265.2241,10.92118,294.6406959,29.46406959,281.8795578,28.18795578,11.063,0.027,-0.602,0.263,-11.665,0.264382299,0.030125211,2.799346151,2.006747932,0.06020944,2.012502418,0.028521783,0.01109221,0.798962223,0.011200688,2.012438498,0.028212468,0.418410053,1.053897761,5.079149713,2.50971285,5.816081314,3.443401427,0.3,0,11.95857063,10.5884149,0.429616774,10.09549106,0.131872809,0.221759705,0.010585258,0.214376473,0.006752271,0.99427,0.9984,0.99427,0.99838,0.99839,1.63935,1.20793,1.63935,1.16845,1.22072,2.21559,1.71491,2.21559,1.66567,1.71984,10.54478,2.92888,10.54478,2.91904,2.93022,0.492009468
J1053+0944,163.4842354,9.733414857,2886,54498,465,1.24E+18,0.5499299,0.0263481,0.6170169,0.01175226,0.1725296,2.58E-05,21.44684398,265.4789,11.57621,270.8468904,27.08468904,260.1953088,26.01953088,11.064,0.034,-1.69,0.592,-12.754,0.592975548,0.032558361,2.779391463,1.66637191,0.079838783,1.869655805,0.03561115,0,0.6170169,0.01175226,1.869655805,0.03561115,0.325112398,0.985140411,4.115112574,2.93800607,4.586081035,3.864859491,0,0,11.5675622,10.49042475,0.570520698,10.22742944,0.389392248,0.219889706,0.006778187,0.214784221,0.011524926,0.95168,0.99797,0.95168,1,,1.00833,0.88063,1.00833,0.64667,,1.91958,1.41762,1.91958,1.0541,,9.72476,2.97251,9.72476,2.00351,,0.555790398
J1511+3020,227.9780135,30.33797907,1845,54144,460,1.24E+18,0.5155632,0.009047836,0.6155875,0.006149031,0.1346969,1.50E-05,38.53872142,222.9457,6.522454,218.4886497,10.92443249,213.819362,10.6909681,11.064,0.017,0.093,0.124,-10.971,0.125159898,0.007746485,2.207227705,1.272440875,0.022330601,1.519306842,0.015176177,1,0.5155632,0.009047836,1.272440875,0.022330601,0.267005635,0.658985909,2.868770621,1.839970947,3.0364568,2.214287327,0.4,0,11.99666888,5.429741783,1.728378958,3.325314096,0.187000086,-0.100090637,0.073523308,-0.177491376,0.025032723,0.60311,0.66677,0.61902,,0.60311,6.14979,4.78531,5.62988,,6.14979,10.24104,10.08226,9.76661,,10.24104,11.40536,11.14099,11.40536,,11.38558,0.264017514
J1112+1155,168.0859332,11.92586679,1604,53078,160,1.24E+18,0.7306021,0.02613868,0.655306,0.01927731,0.180316,3.55E-05,16.76738661,218.4055,13.06133,268.1475798,26.81475798,281.2861669,28.12861669,11.066,0.033,-0.654,0.875,-11.72,0.875622065,0.045250426,4.008317772,2.293924053,0.082069497,2.057511463,0.060526359,1,0.7306021,0.02613868,2.293924053,0.082069497,0.38474465,1.208010498,3.279269901,2.415931017,3.64376557,3.16308872,0.1,0,11.48195146,8.269003348,0.792212451,7.038710546,1.247363771,0.137575298,0.030717786,0.08779947,0.038260041,0.69546,0.73133,0.71392,0.90726,0.69546,3.88492,3.13304,3.68856,1.97414,3.88492,8.51667,4.94112,4.66879,2.92016,8.51667,10.60742,10.02213,10.60742,9.85716,10.23584,0.320431259
J1216+1653,184.0683628,16.89316642,2597,54231,262,1.24E+18,0.6709158,0.02143991,0.5619355,0.01260394,0.1841623,2.59E-05,21.0264843,205.0677,9.938895,211.7985796,21.17985796,212.899747,21.2899747,11.066,0.013,-1.471,0.643,-12.537,0.643131402,0.027142627,2.59859963,2.142360677,0.068461676,1.794366026,0.040246757,1,0.6709158,0.02143991,2.142360677,0.068461676,0.354038159,1.130510609,2.946611545,2.204996122,3.101517335,2.62500701,0.2,0,11.4399933,7.293335001,1.081488879,5.604024958,1.025591307,-0.013578906,0.057440261,-0.108339049,0.050846368,0.5919,0.7308,0.67468,0.78818,0.5919,3.96604,3.21291,3.46228,2.79658,3.96604,7.54924,5.74476,7.54924,5.53221,6.5362,10.66637,10.40846,10.41679,10.66637,10.41976,0.282261213
J1434+0136,218.5278927,1.606039138,536,52024,305,1.24E+18,0.9904198,0.03095733,0.8589358,0.01533847,0.1376917,2.63E-05,17.1278735,239.9279,11.42697,227.4642292,22.74642292,221.4019268,22.14019268,11.067,0.031,-1.405,0.616,-12.472,0.616779539,0.028665772,2.784056993,2.490313942,0.077839185,2.159710254,0.038567086,0,0.8589358,0.01533847,2.159710254,0.038567086,0.446776729,1.123376489,5.032655061,2.983928321,5.368850983,3.644346862,0.2,0,11.96188817,10.81356431,0.200800916,10.84766644,0.286426591,0.229149119,0.007582826,0.234656805,0.004858185,0.93808,1,0.93808,1,1,1.99993,1.13624,1.99993,1.15208,1.15086,2.36835,1.59068,2.36835,1.6179,1.61856,3.95806,2.45252,3.95806,2.49279,2.62979,0.638572902
J1122+1531,170.6886265,15.52300229,1753,53383,442,1.24E+18,0.6219646,0.01851545,0.6726201,0.01274219,0.1612452,2.51E-05,22.9912958,256.1641,10.31882,268.7116912,26.87116912,258.9854947,25.89854947,11.068,0.024,-1.609,0.655,-12.677,0.655439547,0.01630619,2.608087462,1.783605765,0.053096693,1.92887037,0.036540735,0,0.6726201,0.01274219,1.92887037,0.036540735,0.354933478,1.017841526,4.504359796,2.805597798,5.008114833,3.676894272,0.1,0,11.69324774,10.70565213,0.327216793,10.25370697,0.1250072,0.224296701,0.008044619,0.211986053,0.015689812,0.95505,0.99864,0.95505,0.99893,0.99862,0.98354,0.86059,0.98354,0.80871,0.93081,1.68199,1.31808,1.68199,1.22857,1.41973,9.6002,2.57442,9.6002,2.17744,2.63922,0.567425871
J1424+0410,216.147439,4.175290988,584,52049,117,1.24E+18,0.7871324,0.01794447,0.8772845,0.01627625,0.144691,1.86E-05,27.94859746,202.1069,7.271019,199.6917462,19.96917462,201.1416455,20.11416455,11.069,0.035,-1.5,0.807,-12.569,0.807758627,0.01491925,3.475863437,2.063422965,0.047040411,2.299751585,0.042667267,0.8690344,0.798390404,0.015935919,2.092935185,0.041775108,0.418134557,1.096116038,2.827562598,2.26046234,2.94822905,2.639965493,0.2,0,11.88115387,6.949469515,1.609281693,4.389666182,0.729474597,0.117066564,0.077079119,0.024955731,0.048035451,0.60555,0.80918,0.60555,0.83371,0.77817,3.88004,2.47872,3.88004,2.30994,2.6882,9.98483,9.65905,8.20987,6.18801,9.98483,11.18519,10.84488,11.18519,10.82994,10.85025,0.283969539
J0951+1621,147.8263693,16.35368686,2583,54095,161,1.24E+18,0.7894413,0.02534245,0.7896239,0.01265973,0.1660582,2.16E-05,24.6983614,208.5188,7.78103,224.4840661,22.44840661,226.4380863,22.64380863,11.069,0.031,-1.444,0.706,-12.513,0.706680267,0.02069879,3.169715168,2.318994505,0.07444379,2.319530895,0.037188128,0.0114205,0.789621814,0.012518464,2.319524768,0.036773158,0.413897534,1.215829609,3.36214959,2.560461327,3.57723276,3.111784216,0.1,0,11.63940508,10.38290132,0.572280614,9.45952054,0.150424694,0.142753626,0.041780986,0.089299707,0.031097998,0.98871,0.99362,0.98969,0.99347,0.98871,0.93757,0.93757,0.60182,0.9275,0.8192,2.1578,1.43558,2.1578,1.44738,1.3123,10.45839,10.45839,10.28183,10.4292,10.10897,0.561203669
J1304+2507,196.0656089,25.13320085,2662,54505,541,1.24E+18,0.8603321,0.02227538,0.6780874,0.01009899,0.1447008,2.13E-05,27.45938986,222.7926,8.997181,224.4132417,22.44132417,221.9027204,22.19027204,11.071,0.019,-0.288,0.454,-11.359,0.454397403,0.01652202,2.726867217,2.255439707,0.058396957,1.777668468,0.026475431,1,0.8603321,0.02227538,2.255439707,0.058396957,0.447425159,1.172966195,3.58147154,2.382924498,3.810346723,2.895681696,0.2,0,11.88104138,8.969386975,1.099042615,7.432823456,1.034099125,0.179498009,0.030343215,0.113882395,0.025736401,0.84669,0.90948,0.91099,0.954,0.84669,2.24079,1.98246,1.36801,1.54751,2.24079,5.02712,2.9299,2.80499,2.30515,5.02712,10.9521,10.33738,10.85243,10.9521,10.35092,0.40230995
